"Tipo, Provincia y Comarca Indígena",2018 Casos,2018 Tasas (1),2019 Casos,2019 Tasas (1),2020 Casos,2020 Tasas (1),2021 Casos,2021 Tasas (1),2022 Casos,2022 Tasas (1)
TOTAL,"263,052","6,323","283,392","6,717","105,336","2,462","121,893","2,810","178,465","4,057"
Amibiasis,"3,858",93,"4,306",102,"1,856",43,"2,362",54,"2,457",57
Diarrea,"257,817","6,199","277,872","6,587","102,743","2,401","118,274","2,727","174,603","3,969"
Giardiasis,"96,923","6,061","100,992","6,210","2,061","2,457","44,336","2,646","63,073","13,587"
Hepatitis A,-,-,-,-,39,1,7,0.2,-,-
Intoxicación alimentaria,"1,298",29,"1,149",27,717,17,"1,067",25,"1,433",33
Salmonellosis,49,1,39,1,20,0.47,43,1.0,27,1
Shigelosis,30,1,26,1,-,-,13,0.30,33,1
Bocas del Toro,"12,909","7,579","13,927","7,953","6,481","3,601","7,952","4,300","11,494","6,051"
Amibiasis,613,360,723,413,424,236,468,253,288,152
Diarrea,"12,219","7,174","13,166","7,518","6,008","3,338","7,423","4,014","11,155","5,873"
Giardiasis,-,-,-,-,-,-,11,6,1,1
Intoxicación alimentaria,76,45,38,22,49,27,50,27,50,26
Salmonellosis,1,1,-,-,-,-,-,-,-,-
Coclé,"15,701","5,964","16,116","6,078","6,955","2,605","6,463","2,405","11,825","4,374"
Amibiasis,175,66,126,48,47,18,89,33,58,22
Diarrea,"15,505","5,890","15,949","6,015","6,902","2,585","6,356","2,365","11,763","4,351"
Giardiasis,-,-,-,-,-,-,2,1,-,-
Intoxicación alimentaria,18,7,35,13,6,2,16,6,3,1
Salmonellosis,3,1,6,2,-,-,-,-,1,0.4
Colón,"9,540","3,292","9,008","3,063","4,290","1,438","5,309","1,755","7,251","2,364"
Amibiasis,215,74,189,64,80,27,110,36,124,40
Diarrea,"9,225","3,184","8,660","2,945","4,112","1,378","5,110","1,689","7,051","2,299"
Intoxicación alimentaria,98,34,157,53,95,32,87,29,76,25
Salmonellosis,2,1,2,1,3,1,2,1,-,-
Chiriquí,"40,886","8,898","43,791","9,477","17,558","3,780","17,456","3,738","27,637","5,893"
Amibiasis,230,50,189,41,59,13,54,12,112,24
Diarrea,"40,223","8,754","43,375","9,387","17,352","3,735","17,215","3,687","27,252","5,811"
Giardiasis,-,-,-,-,-,-,8,2,-,-
Intoxicación alimentaria,419,91,223,48,146,31,176,38,271,58
Salmonellosis,14,3,4,1,1,0.22,2,0.4,1,0.2
Shigelosis,-,-,-,-,-,-,1,0.21,1,0.2
Darién,"3,744","6,633","4,285","6,129","2,370","1,679","2,614","3,641","2,446","3,365"
Amibiasis,228,404,221,316,96,136,195,272,177,244
Diarrea,"3,487","6,177","4,046","5,787","2,226","1,577","2,416","3,366","2,263","3,113"
Intoxicación alimentaria,29,51,18,26,6,8,3,4,5,7
Shigelosis,-,-,-,-,-,-,-,-,1,1
Nota: Los datos para la Comarca Emberá están contemplados en la provincia de Darién. ,-,-,-,-,-,-,-,-,-,-
Herrera,"19,425","16,360","17,993","15,137","5,245","6,241","6,245","5,246","10,083","8,433"
Amibiasis,16,13,14,12,10,8,10,8,14,12
Diarrea,"19,378","16,320","17,951","15,102","5,216","6,206","6,167","5,180","9,985","8,351"
Hepatitis A,-,-,-,-,-,-,-,-,1,1
Intoxicación alimentaria,31,26,27,23,24,20,67,56,81,68
Salmonellosis,-,-,1,1,1,1,1,1,2,2
Los Santos,"11,800","12,358","10,982","11,495","4,339","4,146","3,617","3,785","5,726","5,994"
Amibiasis,17,18,15,16,5,5,6,6,10,11
Diarrea,"11,681","12,233","10,894","11,403","4,285","4,095","3,558","3,723","5,624","5,887"
Giardiasis,-,-,-,-,-,-,1,1,-,-
Intoxicación alimentaria,102,107,73,76,46,48,52,54,92,96
Salmonellosis,-,-,-,-,-,-,-,-,-,-
Panamá,"98,798","6,178","103,184","6,344","34,945","2,110","45,695","2,727","64,608","13,959"
Amibiasis,"1,404",88,"1,678",103,511,31,772,46,729,208
Giardiasis,-,-,-,-,-,-,7,0.42,4,1
Intoxicación alimentaria,414,26,465,29,275,17,531,32,752,154
Salmonellosis,28,2,23,1,15,1,37,2,23,3
Shigelosis,29,2,26,2,-,-,12,1,27,7
Panamá Oeste,"32,311","5,500","39,329","6,571","13,249","2,185","15,176","2,431","20,083","3,129"
Amibiasis,439,75,441,74,230,38,236,38,238,37
Diarrea,"31,834","5,419","38,820","6,486","12,987","2,141","14,895","2,386","19,789","3,083"
Giardiasis,-,-,-,-,-,-,7,1,-,-
Intoxicación alimentaria,37,6,66,11,32,5,38,6,52,8
Salmonellosis,1,-,-,-,-,-,-,-,-,-
Shigelosis,-,-,2,0.33,-,-,-,-,1,-
Veraguas,"12,148","4,920","14,907","6,020","5,785","2,330","5,968","2,397","10,284","4,076"
Amibiasis,269,109,411,166,205,83,227,91,312,124
Diarrea,"11,817","4,786","14,461","5,839","5,552","2,236","5,698","2,289","9,937","3,938"
Giardiasis,-,-,-,-,1,0.40,-,-,-,-
Hepatitis A,-,-,-,-,-,-,-,-,1,0.40
Intoxicación alimentaria,61,25,34,14,28,11,41,16,34,14
Salmonellosis,1,-,-,-,-,-,1,0.40,-,-
Comarca Kuna Yala,"3,716","8,215","4,484","9,692","4,649","2,201","2,928","6,046","3,509","7,078"
Amibiasis,251,555,286,618,179,378,241,498,262,528
Diarrea,"3,452","7,631","4,190","9,056","4,256","2,015","2,682","5,538","3,236","6,527"
Intoxicación alimentaria,13,29,8,17,15,7,5,10,11,22
Comarca Ngäbe Buglé,"2,074",956,"5,386","2,456","1,806",803,"2,470","1,072","3,519","1,491"
Amibiasis,1,0.46,13,5.9,10,4,49,21,38,16
Diarrea,"2,073",956,"5,368","2,448","1,793",798,"2,418","1,050","3,475","1,472"
Giardiasis,-,-,5,2,3,1,2,1,-,-
Intoxicación alimentaria,-,-,-,-,-,-,1,-,6,3